0;0;300,00;300,00;82;0;0;
0;1;334,00;334,00;82;0;0;
0;2;421,00;421,00;82;0;0;
0;3;457,00;457,00;82;0;0;
0;4;493,00;493,00;82;0;0;
0;5;561,00;561,00;82;0;0;
0;6;582,00;582,00;82;0;0;
1;0;600,00;600,00;82;0;0;
1;1;634,00;634,00;82;0;0;
0;7;653,00;653,00;82;0;0;
0;8;692,00;692,00;82;0;0;
1;2;721,00;721,00;82;0;0;
1;3;757,00;757,00;82;0;0;
0;9;758,00;758,00;82;0;0;
1;4;793,00;793,00;82;0;0;
0;10;861,00;861,00;82;0;0;
1;5;861,00;861,00;82;0;0;
1;6;882,00;882,00;82;0;0;
2;0;900,00;900,00;82;0;0;
0;11;914,00;914,00;82;0;0;
2;1;934,00;934,00;82;0;0;
1;7;953,00;953,00;82;0;0;
1;8;992,00;992,00;82;0;0;
0;12;993,00;993,00;82;0;0;
2;2;1021,00;1021,00;82;0;0;
0;13;1041,00;1041,00;82;0;0;
2;3;1057,00;1057,00;82;0;0;
1;9;1058,00;1058,00;82;0;0;
0;14;1092,00;1092,00;82;0;0;
2;4;1093,00;1093,00;82;0;0;
1;10;1161,00;1161,00;82;0;0;
2;5;1161,00;1161,00;82;0;0;
0;15;1169,00;1169,00;82;0;0;
2;6;1182,00;1182,00;82;0;0;
0;16;1208,00;1274,00;60;22;0;
1;11;1214,00;1295,00;55;27;0;
3;0;1200,00;1314,00;44;38;0;
2;7;1253,00;1346,00;51;31;0;
0;17;1341,00;1405,00;40;21;1;
1;12;1374,00;1453,00;30;26;1;
3;1;1348,00;1460,00;8;37;1;
2;8;1385,00;1476,00;22;30;1;
4;0;1500,00;1500,00;82;0;0;
4;1;1534,00;1534,00;82;0;0;
0;18;1473,00;1535,00;22;20;2;
1;13;1501,00;1578,00;7;25;2;
3;2;1547,00;1579,00;0;10;2;
2;9;1542,00;1616,00;0;24;2;
3;3;1615,00;1623,00;0;2;2;
0;19;1577,00;1637,00;6;19;3;
1;14;1629,00;1662,00;0;10;3;
3;4;1659,00;1667,00;0;2;2;
4;2;1621,00;1699,00;56;26;0;
0;20;1680,00;1714,00;0;10;4;
2;10;1719,00;1727,00;0;2;2;
3;5;1735,00;1743,00;0;2;2;
1;15;1739,00;1751,00;0;3;3;
3;6;1764,00;1772,00;0;2;2;
2;11;1780,00;1784,00;3;0;3;
1;16;1790,00;1796,00;5;0;5;
5;0;1800,00;1800,00;82;0;0;
0;21;1802,00;1822,00;0;5;5;
5;1;1834,00;1834,00;82;0;0;
4;3;1735,00;1835,00;24;33;1;
3;7;1843,00;1846,00;2;0;2;
1;17;1863,00;1867,00;8;0;3;
2;12;1863,00;1867,00;6;0;3;
3;8;1885,00;1889,00;5;0;3;
0;22;1876,00;1900,00;0;6;6;
2;13;1915,00;1920,00;10;0;4;
5;2;1921,00;1921,00;82;0;0;
1;18;1935,00;1939,00;11;0;3;
4;4;1871,00;1951,00;0;26;2;
0;23;1928,00;1952,00;0;6;6;
5;3;1957,00;1957,00;82;0;0;
3;9;1955,00;1972,00;2;5;2;
1;19;1981,00;1987,00;16;0;5;
2;14;1971,00;2009,00;0;12;2;
5;4;1993,00;2011,00;76;6;0;
4;5;2019,00;2027,00;0;2;2;
0;24;2027,00;2051,00;0;6;6;
4;6;2048,00;2056,00;0;2;2;
1;20;2030,00;2057,00;11;8;3;
